      Week,  Young, Middle,    Old,    All, Total Deaths
  4/2/2022,     10,    154,   1732,   1896,     57936
  4/9/2022,      9,    115,   1421,   1545,     57669
 4/16/2022,     10,    116,   1271,   1397,     57694
 4/23/2022,     11,    128,   1202,   1341,     56641
 4/30/2022,     10,    106,   1297,   1413,     57220
  5/7/2022,     13,    105,   1300,   1418,     57424
 5/14/2022,      8,    103,   1551,   1662,     57823
 5/21/2022,     17,    123,   1591,   1731,     57566
 5/28/2022,     15,    121,   1789,   1925,     56975
  6/4/2022,     14,    113,   1848,   1975,     57430
 6/11/2022,     10,    144,   1947,   2101,     57881
 6/18/2022,     10,    131,   2034,   2175,     57573
 6/25/2022,     12,    121,   2157,   2290,     58051
  7/2/2022,     11,    143,   2224,   2378,     57791
  7/9/2022,     14,    148,   2371,   2533,     57746
 7/16/2022,     12,    159,   2690,   2861,     57971
 7/23/2022,      9,    169,   2969,   3147,     59254
 7/30/2022,     14,    187,   3111,   3312,     58010
  8/6/2022,     15,    192,   3037,   3244,     58209
 8/13/2022,      9,    176,   2974,   3159,     57319
 8/20/2022,      6,    151,   2872,   3029,     56772
 8/27/2022,      5,    149,   2720,   2874,     55957
  9/3/2022,     10,    120,   2565,   2695,     54734
 9/10/2022,      6,    117,   2398,   2521,     53087
 9/17/2022,      2,    100,   1980,   2082,     47074
 9/24/2022,      3,     70,   1558,   1631,     38215
 10/1/2022,      0,     17,    753,    770,     18050
